Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626362070236962,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,61,64,17,11359,192.168.43.220,216.239.32.116,
1626362070248973,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,23588,13.224.193.5,192.168.43.220,
1626362070468974,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,53,51,17,24912,216.239.32.116,192.168.43.220,
1626362070469083,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,53,51,17,24912,216.239.32.116,192.168.43.220,
1626362070588970,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,825,51,17,24140,216.239.32.116,192.168.43.220,
1626362070589085,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,69,51,17,24896,216.239.32.116,192.168.43.220,
1626362070589154,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,61,64,17,11358,192.168.43.220,216.239.32.116,
1626362070589194,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,71,64,17,11347,192.168.43.220,216.239.32.116,
1626362070589233,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,53,51,17,24912,216.239.32.116,192.168.43.220,
1626362070589275,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,71,64,17,11346,192.168.43.220,216.239.32.116,
1626362070600969,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,53,51,17,24912,216.239.32.116,192.168.43.220,
1626362070601049,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,61,64,17,11355,192.168.43.220,216.239.32.116,
1626362070612973,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,21354,192.168.43.220,52.159.49.199,
1626362070648977,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,20780,52.159.49.199,192.168.43.220,
1626362070852975,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,53,51,17,24912,216.239.32.116,192.168.43.220,
1626362071368971,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,125,124,6,17794,216.58.208.225,192.168.43.220,
1626362071369114,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,34902,192.168.43.220,216.58.208.225,
1626362071380963,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,51,6,59498,5.9.70.141,192.168.43.220,
1626362071381432,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,55263,192.168.43.220,5.9.70.141,
1626362071440973,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,17866,216.58.208.225,192.168.43.220,
1626362071620967,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,17865,216.58.208.225,192.168.43.220,
1626362071621126,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,42275,192.168.43.220,216.58.208.225,
1626362072664961,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,40959,192.168.43.220,13.107.42.14,
1626362072688957,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,16557,13.107.42.14,192.168.43.220,
1626362073192960,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,20374,192.168.43.220,8.8.8.8,
1626362073193063,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,20375,192.168.43.220,8.8.8.8,
1626362073312963,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,109,17,6190,8.8.8.8,192.168.43.220,
1626362073324962,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,115,17,54521,8.8.8.8,192.168.43.220,
1626362074692966,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,75,64,17,46797,192.168.43.220,192.168.43.1,
1626362074704960,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,75,64,17,17245,192.168.43.1,192.168.43.220,
1626362074716958,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,22897,192.168.43.220,104.18.100.194,
1626362074740956,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,28563,104.18.100.194,192.168.43.220,
1626362075736957,10-44-00-07-15-59,54-27-1E-17-4D-99,1544,0,0,0,1,2048,84,39,7703,77.153.192.168,43.220.0.0,
1626362075737073,54-27-1E-17-4D-99,10-44-00-07-15-59,1544,0,0,0,1,2048,16,68,7,21.89.192.168,43.1.84.39,
1626362078196963,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,20348,192.168.43.220,8.8.8.8,
1626362078197072,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,20373,192.168.43.220,8.8.8.8,
1626362078364961,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,115,17,31442,8.8.8.8,192.168.43.220,
1626362078365089,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,116,17,14623,8.8.8.8,192.168.43.220,
