Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626363222841982,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2866,192.168.43.220,91.189.91.38,
1626363222842034,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3427,91.189.91.38,192.168.43.220,
1626363222842100,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3426,91.189.91.38,192.168.43.220,
1626363222852963,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2865,192.168.43.220,91.189.91.38,
1626363222853072,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3425,91.189.91.38,192.168.43.220,
1626363222853175,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3424,91.189.91.38,192.168.43.220,
1626363222853259,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2864,192.168.43.220,91.189.91.38,
1626363222853358,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3423,91.189.91.38,192.168.43.220,
1626363222853429,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2863,192.168.43.220,91.189.91.38,
1626363222853489,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3422,91.189.91.38,192.168.43.220,
1626363222853564,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3421,91.189.91.38,192.168.43.220,
1626363222864959,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2862,192.168.43.220,91.189.91.38,
1626363222865034,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3420,91.189.91.38,192.168.43.220,
1626363222865076,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3419,91.189.91.38,192.168.43.220,
1626363222865123,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3418,91.189.91.38,192.168.43.220,
1626363222865155,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3417,91.189.91.38,192.168.43.220,
1626363222865186,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2861,192.168.43.220,91.189.91.38,
1626363222876959,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3416,91.189.91.38,192.168.43.220,
1626363222877032,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2860,192.168.43.220,91.189.91.38,
1626363222877066,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3415,91.189.91.38,192.168.43.220,
1626363222877098,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3414,91.189.91.38,192.168.43.220,
1626363222877129,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3413,91.189.91.38,192.168.43.220,
1626363222877169,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3412,91.189.91.38,192.168.43.220,
1626363222877233,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3411,91.189.91.38,192.168.43.220,
1626363222877287,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2859,192.168.43.220,91.189.91.38,
1626363222877328,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3410,91.189.91.38,192.168.43.220,
1626363222877366,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3409,91.189.91.38,192.168.43.220,
1626363222877430,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3408,91.189.91.38,192.168.43.220,
1626363222877465,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3407,91.189.91.38,192.168.43.220,
1626363222877498,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3406,91.189.91.38,192.168.43.220,
1626363222877529,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2870,192.168.43.220,91.189.91.38,
1626363222888969,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3405,91.189.91.38,192.168.43.220,
1626363222889075,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3404,91.189.91.38,192.168.43.220,
1626363222889148,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2869,192.168.43.220,91.189.91.38,
1626363222889222,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3403,91.189.91.38,192.168.43.220,
1626363222889306,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3402,91.189.91.38,192.168.43.220,
1626363222889390,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2868,192.168.43.220,91.189.91.38,
1626363222889525,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3401,91.189.91.38,192.168.43.220,
1626363222889609,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3400,91.189.91.38,192.168.43.220,
1626363222889702,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2867,192.168.43.220,91.189.91.38,
1626363222889778,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3399,91.189.91.38,192.168.43.220,
1626363222889864,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3398,91.189.91.38,192.168.43.220,
1626363222889928,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2866,192.168.43.220,91.189.91.38,
1626363222900959,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3397,91.189.91.38,192.168.43.220,
1626363222901053,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3396,91.189.91.38,192.168.43.220,
1626363222901136,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2865,192.168.43.220,91.189.91.38,
1626363222901203,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3395,91.189.91.38,192.168.43.220,
1626363222901256,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3394,91.189.91.38,192.168.43.220,
1626363222901300,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2864,192.168.43.220,91.189.91.38,
1626363222901340,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3393,91.189.91.38,192.168.43.220,
1626363222912970,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3392,91.189.91.38,192.168.43.220,
1626363222913044,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2863,192.168.43.220,91.189.91.38,
1626363222913089,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3391,91.189.91.38,192.168.43.220,
1626363222913132,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3390,91.189.91.38,192.168.43.220,
1626363222913175,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2862,192.168.43.220,91.189.91.38,
1626363222913216,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3389,91.189.91.38,192.168.43.220,
1626363222913258,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3388,91.189.91.38,192.168.43.220,
1626363222913310,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2861,192.168.43.220,91.189.91.38,
1626363222928970,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3387,91.189.91.38,192.168.43.220,
