Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626363221918092,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4036,91.189.91.38,192.168.43.220,
1626363221918189,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3270,192.168.43.220,91.189.91.38,
1626363221918282,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3269,192.168.43.220,91.189.91.38,
1626363221918379,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3268,192.168.43.220,91.189.91.38,
1626363221918452,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4035,91.189.91.38,192.168.43.220,
1626363221918561,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3267,192.168.43.220,91.189.91.38,
1626363221918656,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4034,91.189.91.38,192.168.43.220,
1626363221918754,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3266,192.168.43.220,91.189.91.38,
1626363221928965,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4033,91.189.91.38,192.168.43.220,
1626363221929122,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3265,192.168.43.220,91.189.91.38,
1626363221929236,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4032,91.189.91.38,192.168.43.220,
1626363221929332,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3264,192.168.43.220,91.189.91.38,
1626363222000959,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4031,91.189.91.38,192.168.43.220,
1626363222001200,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3263,192.168.43.220,91.189.91.38,
1626363222001344,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4030,91.189.91.38,192.168.43.220,
1626363222001428,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3262,192.168.43.220,91.189.91.38,
1626363222001605,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4029,91.189.91.38,192.168.43.220,
1626363222001653,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3261,192.168.43.220,91.189.91.38,
1626363222001742,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4028,91.189.91.38,192.168.43.220,
1626363222001781,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3260,192.168.43.220,91.189.91.38,
1626363222001813,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4027,91.189.91.38,192.168.43.220,
1626363222001844,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3259,192.168.43.220,91.189.91.38,
1626363222001873,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4026,91.189.91.38,192.168.43.220,
1626363222001905,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3258,192.168.43.220,91.189.91.38,
1626363222001972,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4025,91.189.91.38,192.168.43.220,
1626363222002035,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3257,192.168.43.220,91.189.91.38,
1626363222002097,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4024,91.189.91.38,192.168.43.220,
1626363222002175,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3256,192.168.43.220,91.189.91.38,
1626363222002249,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4023,91.189.91.38,192.168.43.220,
1626363222002312,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3255,192.168.43.220,91.189.91.38,
1626363222002372,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4022,91.189.91.38,192.168.43.220,
1626363222002444,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3254,192.168.43.220,91.189.91.38,
1626363222002521,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4021,91.189.91.38,192.168.43.220,
1626363222002580,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3253,192.168.43.220,91.189.91.38,
1626363222002640,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4020,91.189.91.38,192.168.43.220,
1626363222002716,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3252,192.168.43.220,91.189.91.38,
1626363222002792,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4019,91.189.91.38,192.168.43.220,
1626363222002901,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3251,192.168.43.220,91.189.91.38,
1626363222002966,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4018,91.189.91.38,192.168.43.220,
1626363222003060,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3250,192.168.43.220,91.189.91.38,
1626363222003122,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4017,91.189.91.38,192.168.43.220,
1626363222003186,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3249,192.168.43.220,91.189.91.38,
1626363222003258,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4016,91.189.91.38,192.168.43.220,
1626363222003338,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3248,192.168.43.220,91.189.91.38,
1626363222003407,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4015,91.189.91.38,192.168.43.220,
1626363222003469,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3247,192.168.43.220,91.189.91.38,
1626363222003545,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4014,91.189.91.38,192.168.43.220,
1626363222003620,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3246,192.168.43.220,91.189.91.38,
1626363222003682,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4013,91.189.91.38,192.168.43.220,
1626363222003745,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3245,192.168.43.220,91.189.91.38,
1626363222012965,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4012,91.189.91.38,192.168.43.220,
1626363222013059,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3244,192.168.43.220,91.189.91.38,
1626363222013122,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4011,91.189.91.38,192.168.43.220,
1626363222013188,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3243,192.168.43.220,91.189.91.38,
1626363222013264,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4010,91.189.91.38,192.168.43.220,
1626363222013333,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3242,192.168.43.220,91.189.91.38,
1626363222013403,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4009,91.189.91.38,192.168.43.220,
1626363222013480,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3241,192.168.43.220,91.189.91.38,
1626363222013549,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4008,91.189.91.38,192.168.43.220,
1626363222013619,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3240,192.168.43.220,91.189.91.38,
1626363222013689,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4007,91.189.91.38,192.168.43.220,
1626363222013753,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3239,192.168.43.220,91.189.91.38,
1626363222013823,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4006,91.189.91.38,192.168.43.220,
1626363222013899,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3238,192.168.43.220,91.189.91.38,
1626363222013969,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4005,91.189.91.38,192.168.43.220,
1626363222014039,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3237,192.168.43.220,91.189.91.38,
