Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626361910268976,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4425,142.250.181.67,192.168.43.220,
1626361910269076,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4425,142.250.181.67,192.168.43.220,
1626361910269116,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4425,142.250.181.67,192.168.43.220,
1626361910269153,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,63,64,17,25542,192.168.43.220,142.250.181.67,
1626361910269211,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,61,64,17,25543,192.168.43.220,142.250.181.67,
1626361910269252,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4425,142.250.181.67,192.168.43.220,
1626361910269298,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4425,142.250.181.67,192.168.43.220,
1626361910269339,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,61,64,17,25542,192.168.43.220,142.250.181.67,
1626361910269378,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4425,142.250.181.67,192.168.43.220,
1626361910269420,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,63,64,17,25539,192.168.43.220,142.250.181.67,
1626361910269470,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4425,142.250.181.67,192.168.43.220,
1626361910269505,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,63,64,17,25538,192.168.43.220,142.250.181.67,
1626361910269533,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4425,142.250.181.67,192.168.43.220,
1626361910269559,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,61,64,17,25539,192.168.43.220,142.250.181.67,
1626361910269592,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4425,142.250.181.67,192.168.43.220,
1626361910269635,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,63,64,17,25536,192.168.43.220,142.250.181.67,
1626361910269681,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4425,142.250.181.67,192.168.43.220,
1626361910269723,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,61,64,17,25537,192.168.43.220,142.250.181.67,
1626361910269765,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4425,142.250.181.67,192.168.43.220,
1626361910284957,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4425,142.250.181.67,192.168.43.220,
1626361910285046,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,61,64,17,25536,192.168.43.220,142.250.181.67,
1626361910296971,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,147,51,17,5656,142.250.181.67,192.168.43.220,
1626361910297079,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,64,17,12320,192.168.43.220,192.168.43.1,
1626361910320981,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,61,64,17,25535,192.168.43.220,142.250.181.67,
1626361910332977,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,236,64,6,7319,192.168.43.220,104.18.3.119,
1626361910333260,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1440,64,6,6114,192.168.43.220,104.18.3.119,
1626361910333359,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1440,64,6,6113,192.168.43.220,104.18.3.119,
1626361910333451,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1440,64,6,6112,192.168.43.220,104.18.3.119,
1626361910333504,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1440,64,6,6111,192.168.43.220,104.18.3.119,
1626361910333564,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1440,64,6,6110,192.168.43.220,104.18.3.119,
1626361910333623,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1440,64,6,6109,192.168.43.220,104.18.3.119,
1626361910333671,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1440,64,6,6108,192.168.43.220,104.18.3.119,
1626361910333722,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1440,64,6,6107,192.168.43.220,104.18.3.119,
1626361910333764,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1440,64,6,6106,192.168.43.220,104.18.3.119,
1626361910344973,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,140,64,17,23328,192.168.43.1,192.168.43.220,
