Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626363223325385,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2778,192.168.43.220,91.189.91.38,
1626363223325446,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3216,91.189.91.38,192.168.43.220,
1626363223325498,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2777,192.168.43.220,91.189.91.38,
1626363223336981,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3215,91.189.91.38,192.168.43.220,
1626363223337056,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3214,91.189.91.38,192.168.43.220,
1626363223337155,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2776,192.168.43.220,91.189.91.38,
1626363223337185,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3213,91.189.91.38,192.168.43.220,
1626363223337214,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3212,91.189.91.38,192.168.43.220,
1626363223337242,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2775,192.168.43.220,91.189.91.38,
1626363223337270,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3211,91.189.91.38,192.168.43.220,
1626363223337298,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3210,91.189.91.38,192.168.43.220,
1626363223337325,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2774,192.168.43.220,91.189.91.38,
1626363223337360,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3209,91.189.91.38,192.168.43.220,
1626363223337394,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2773,192.168.43.220,91.189.91.38,
1626363223337428,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3208,91.189.91.38,192.168.43.220,
1626363223337461,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3207,91.189.91.38,192.168.43.220,
1626363223337495,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3206,91.189.91.38,192.168.43.220,
1626363223337528,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2772,192.168.43.220,91.189.91.38,
1626363223337562,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3205,91.189.91.38,192.168.43.220,
1626363223348959,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2771,192.168.43.220,91.189.91.38,
1626363223349061,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3204,91.189.91.38,192.168.43.220,
1626363223349130,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2770,192.168.43.220,91.189.91.38,
1626363223349200,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3203,91.189.91.38,192.168.43.220,
1626363223349272,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2769,192.168.43.220,91.189.91.38,
1626363223349344,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3202,91.189.91.38,192.168.43.220,
1626363223349381,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2768,192.168.43.220,91.189.91.38,
1626363223360959,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3201,91.189.91.38,192.168.43.220,
1626363223361028,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2767,192.168.43.220,91.189.91.38,
1626363223361070,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3200,91.189.91.38,192.168.43.220,
1626363223372969,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2766,192.168.43.220,91.189.91.38,
1626363223373083,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3199,91.189.91.38,192.168.43.220,
1626363223373162,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2765,192.168.43.220,91.189.91.38,
1626363223373238,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3198,91.189.91.38,192.168.43.220,
1626363223373325,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3197,91.189.91.38,192.168.43.220,
1626363223373403,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2764,192.168.43.220,91.189.91.38,
1626363223373478,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3196,91.189.91.38,192.168.43.220,
1626363223373553,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2763,192.168.43.220,91.189.91.38,
1626363223373679,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3195,91.189.91.38,192.168.43.220,
1626363223373757,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3194,91.189.91.38,192.168.43.220,
1626363223373831,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3193,91.189.91.38,192.168.43.220,
1626363223373914,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2762,192.168.43.220,91.189.91.38,
1626363223373981,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3192,91.189.91.38,192.168.43.220,
1626363223374052,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3191,91.189.91.38,192.168.43.220,
1626363223374124,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2761,192.168.43.220,91.189.91.38,
1626363223384958,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3190,91.189.91.38,192.168.43.220,
1626363223385047,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3189,91.189.91.38,192.168.43.220,
1626363223385115,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3188,91.189.91.38,192.168.43.220,
1626363223385176,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2760,192.168.43.220,91.189.91.38,
1626363223385231,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3187,91.189.91.38,192.168.43.220,
1626363223385286,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3186,91.189.91.38,192.168.43.220,
1626363223385340,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2759,192.168.43.220,91.189.91.38,
1626363223396962,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3185,91.189.91.38,192.168.43.220,
1626363223397099,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,114,17,31501,8.8.8.8,192.168.43.220,
1626363223397198,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2758,192.168.43.220,91.189.91.38,
1626363223397308,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3184,91.189.91.38,192.168.43.220,
1626363223397409,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2757,192.168.43.220,91.189.91.38,
1626363223408972,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3183,91.189.91.38,192.168.43.220,
1626363223409080,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2756,192.168.43.220,91.189.91.38,
1626363223424972,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3182,91.189.91.38,192.168.43.220,
1626363223425070,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3181,91.189.91.38,192.168.43.220,
1626363223425125,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2755,192.168.43.220,91.189.91.38,
1626363223436973,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3180,91.189.91.38,192.168.43.220,
1626363223437110,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3179,91.189.91.38,192.168.43.220,
1626363223437189,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3178,91.189.91.38,192.168.43.220,
1626363223437288,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,116,17,33661,8.8.8.8,192.168.43.220,
1626363223437399,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2754,192.168.43.220,91.189.91.38,
1626363223437482,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3177,91.189.91.38,192.168.43.220,
1626363223437551,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3176,91.189.91.38,192.168.43.220,
1626363223437638,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2753,192.168.43.220,91.189.91.38,
1626363223437715,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3175,91.189.91.38,192.168.43.220,
1626363223437804,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2752,192.168.43.220,91.189.91.38,
1626363223437911,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3174,91.189.91.38,192.168.43.220,
1626363223437998,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3173,91.189.91.38,192.168.43.220,
1626363223438076,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2751,192.168.43.220,91.189.91.38,
1626363223438258,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3172,91.189.91.38,192.168.43.220,
1626363223438409,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3171,91.189.91.38,192.168.43.220,
1626363223448973,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2750,192.168.43.220,91.189.91.38,
1626363223449055,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3170,91.189.91.38,192.168.43.220,
1626363223449097,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2749,192.168.43.220,91.189.91.38,
1626363223449130,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3169,91.189.91.38,192.168.43.220,
1626363223449164,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3168,91.189.91.38,192.168.43.220,
1626363223449205,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3167,91.189.91.38,192.168.43.220,
1626363223449241,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2748,192.168.43.220,91.189.91.38,
1626363223449276,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3166,91.189.91.38,192.168.43.220,
1626363223449335,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2747,192.168.43.220,91.189.91.38,
1626363223449372,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3165,91.189.91.38,192.168.43.220,
1626363223449405,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2746,192.168.43.220,91.189.91.38,
1626363223449450,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3164,91.189.91.38,192.168.43.220,
1626363223449499,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3163,91.189.91.38,192.168.43.220,
1626363223449568,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2745,192.168.43.220,91.189.91.38,
1626363223460962,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3162,91.189.91.38,192.168.43.220,
1626363223461051,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3161,91.189.91.38,192.168.43.220,
1626363223461099,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2744,192.168.43.220,91.189.91.38,
1626363223461143,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3160,91.189.91.38,192.168.43.220,
1626363223461187,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2743,192.168.43.220,91.189.91.38,
1626363223461231,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3159,91.189.91.38,192.168.43.220,
1626363223461274,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3158,91.189.91.38,192.168.43.220,
1626363223461317,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2742,192.168.43.220,91.189.91.38,
1626363223461361,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3157,91.189.91.38,192.168.43.220,
