Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626363043520961,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,51,6,59377,5.9.70.141,192.168.43.220,
1626363045464958,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,47531,192.168.43.220,74.125.140.188,
1626363045644969,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,52,35,6,59993,74.125.140.188,192.168.43.220,
1626363045764971,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,76,64,17,19641,192.168.43.220,192.168.43.1,
1626363045765099,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,76,64,17,19640,192.168.43.220,192.168.43.1,
1626363046772960,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,51,6,59376,5.9.70.141,192.168.43.220,
1626363046773061,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,55146,192.168.43.220,5.9.70.141,
1626363048188957,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,35445,192.168.43.220,8.8.8.8,
1626363048189053,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,34340,192.168.43.220,8.8.8.8,
1626363048308970,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,114,17,10476,8.8.8.8,192.168.43.220,
1626363048336962,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,109,17,45552,8.8.8.8,192.168.43.220,
1626363049080969,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,67,64,17,19226,192.168.43.220,192.168.43.1,
1626363049081102,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,67,64,17,19225,192.168.43.220,192.168.43.1,
1626363049128971,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,83,64,17,50508,192.168.43.1,192.168.43.220,
1626363049129044,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,83,64,17,50507,192.168.43.1,192.168.43.220,
1626363049129096,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,64,6,15517,192.168.43.220,10.10.34.35,
1626363050140973,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,64,6,15516,192.168.43.220,10.10.34.35,
1626363051008956,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,76,64,17,19193,192.168.43.220,192.168.43.1,
1626363051009201,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,76,64,17,19192,192.168.43.220,192.168.43.1,
1626363052116957,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,21295,192.168.43.220,52.159.49.199,
1626363052152972,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,20702,52.159.49.199,192.168.43.220,
1626363052153060,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,64,6,15515,192.168.43.220,10.10.34.35,
1626363053148970,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3942,192.168.43.220,140.82.114.26,
1626363053184960,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,33438,140.82.114.26,192.168.43.220,
1626363053196957,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,33611,192.168.43.220,8.8.8.8,
1626363053197037,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,33610,192.168.43.220,8.8.8.8,
1626363053292957,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,114,17,38660,8.8.8.8,192.168.43.220,
1626363053316966,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,109,17,38647,8.8.8.8,192.168.43.220,
1626363056220974,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,64,6,15514,192.168.43.220,10.10.34.35,
1626363056256978,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,76,64,17,18309,192.168.43.220,192.168.43.1,
1626363056257056,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,76,64,17,18308,192.168.43.220,192.168.43.1,
