Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626361905869693,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4393,142.250.181.99,192.168.43.220,
1626361905869749,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4393,142.250.181.99,192.168.43.220,
1626361905869793,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,63,64,17,8309,192.168.43.220,142.250.181.99,
1626361905869833,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,63,64,17,8308,192.168.43.220,142.250.181.99,
1626361905869886,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4393,142.250.181.99,192.168.43.220,
1626361905869932,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4393,142.250.181.99,192.168.43.220,
1626361905870011,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,65,64,17,8305,192.168.43.220,142.250.181.99,
1626361905870088,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,63,64,17,8306,192.168.43.220,142.250.181.99,
1626361905870174,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4393,142.250.181.99,192.168.43.220,
1626361905870257,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4393,142.250.181.99,192.168.43.220,
1626361905870327,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,61,64,17,8307,192.168.43.220,142.250.181.99,
1626361905884987,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4393,142.250.181.99,192.168.43.220,
1626361905885114,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,61,64,17,8306,192.168.43.220,142.250.181.99,
1626361905908958,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,1378,51,17,4393,142.250.181.99,192.168.43.220,
