Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626363221202323,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3703,192.168.43.220,91.189.91.38,
1626363221202462,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4492,91.189.91.38,192.168.43.220,
1626363221202562,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3702,192.168.43.220,91.189.91.38,
1626363221212967,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4491,91.189.91.38,192.168.43.220,
1626363221213067,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3701,192.168.43.220,91.189.91.38,
1626363221213141,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4490,91.189.91.38,192.168.43.220,
1626363221213181,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3700,192.168.43.220,91.189.91.38,
1626363221213217,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4489,91.189.91.38,192.168.43.220,
1626363221213257,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3699,192.168.43.220,91.189.91.38,
1626363221213291,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4488,91.189.91.38,192.168.43.220,
1626363221213349,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3698,192.168.43.220,91.189.91.38,
1626363221213382,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4487,91.189.91.38,192.168.43.220,
1626363221213414,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3697,192.168.43.220,91.189.91.38,
1626363221308971,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4486,91.189.91.38,192.168.43.220,
1626363221309091,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3696,192.168.43.220,91.189.91.38,
1626363221309155,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4485,91.189.91.38,192.168.43.220,
1626363221309197,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3695,192.168.43.220,91.189.91.38,
1626363221309266,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4484,91.189.91.38,192.168.43.220,
1626363221309305,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3694,192.168.43.220,91.189.91.38,
1626363221309337,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4483,91.189.91.38,192.168.43.220,
1626363221309373,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3693,192.168.43.220,91.189.91.38,
1626363221309439,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4482,91.189.91.38,192.168.43.220,
1626363221309514,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3692,192.168.43.220,91.189.91.38,
1626363221309554,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4481,91.189.91.38,192.168.43.220,
1626363221309582,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3691,192.168.43.220,91.189.91.38,
1626363221309632,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4480,91.189.91.38,192.168.43.220,
1626363221309683,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3690,192.168.43.220,91.189.91.38,
1626363221309732,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4479,91.189.91.38,192.168.43.220,
1626363221309781,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3689,192.168.43.220,91.189.91.38,
1626363221309859,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4478,91.189.91.38,192.168.43.220,
1626363221309912,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3688,192.168.43.220,91.189.91.38,
1626363221309959,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4477,91.189.91.38,192.168.43.220,
1626363221310016,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3687,192.168.43.220,91.189.91.38,
1626363221310083,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4476,91.189.91.38,192.168.43.220,
1626363221310133,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3686,192.168.43.220,91.189.91.38,
1626363221310184,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4475,91.189.91.38,192.168.43.220,
1626363221310240,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3685,192.168.43.220,91.189.91.38,
1626363221310354,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4474,91.189.91.38,192.168.43.220,
1626363221310402,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3684,192.168.43.220,91.189.91.38,
1626363221310460,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4473,91.189.91.38,192.168.43.220,
1626363221310522,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3683,192.168.43.220,91.189.91.38,
1626363221320973,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4472,91.189.91.38,192.168.43.220,
1626363221321062,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3682,192.168.43.220,91.189.91.38,
1626363221321124,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4471,91.189.91.38,192.168.43.220,
1626363221321184,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3681,192.168.43.220,91.189.91.38,
1626363221321239,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4470,91.189.91.38,192.168.43.220,
1626363221321285,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3680,192.168.43.220,91.189.91.38,
1626363221321335,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4469,91.189.91.38,192.168.43.220,
1626363221321393,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3679,192.168.43.220,91.189.91.38,
1626363221321435,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4468,91.189.91.38,192.168.43.220,
1626363221321475,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3678,192.168.43.220,91.189.91.38,
1626363221321521,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4467,91.189.91.38,192.168.43.220,
1626363221321581,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3677,192.168.43.220,91.189.91.38,
1626363221321650,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4466,91.189.91.38,192.168.43.220,
1626363221321728,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3676,192.168.43.220,91.189.91.38,
1626363221321807,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4465,91.189.91.38,192.168.43.220,
1626363221321869,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3675,192.168.43.220,91.189.91.38,
1626363221321937,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4464,91.189.91.38,192.168.43.220,
1626363221322012,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3674,192.168.43.220,91.189.91.38,
1626363221322079,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4463,91.189.91.38,192.168.43.220,
1626363221322140,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3673,192.168.43.220,91.189.91.38,
1626363221322217,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4462,91.189.91.38,192.168.43.220,
1626363221322285,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3672,192.168.43.220,91.189.91.38,
1626363221322357,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4461,91.189.91.38,192.168.43.220,
1626363221322437,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3671,192.168.43.220,91.189.91.38,
1626363221322518,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4460,91.189.91.38,192.168.43.220,
1626363221322593,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3670,192.168.43.220,91.189.91.38,
1626363221322672,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4459,91.189.91.38,192.168.43.220,
1626363221322759,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3669,192.168.43.220,91.189.91.38,
1626363221322827,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4458,91.189.91.38,192.168.43.220,
1626363221322887,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3668,192.168.43.220,91.189.91.38,
1626363221322965,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4457,91.189.91.38,192.168.43.220,
1626363221323053,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3667,192.168.43.220,91.189.91.38,
1626363221323128,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4456,91.189.91.38,192.168.43.220,
1626363221323193,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3666,192.168.43.220,91.189.91.38,
1626363221323313,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4455,91.189.91.38,192.168.43.220,
1626363221323375,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3665,192.168.43.220,91.189.91.38,
1626363221323443,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4454,91.189.91.38,192.168.43.220,
1626363221323499,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3664,192.168.43.220,91.189.91.38,
