Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626362011264971,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,43612,104.17.68.176,192.168.43.220,
1626362011276969,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,196,192.168.43.220,13.224.193.5,
1626362011300976,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,23592,13.224.193.5,192.168.43.220,
1626362012068969,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,44,6,2154,172.217.21.34,192.168.43.220,
1626362012069083,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,35920,192.168.43.220,172.217.21.34,
1626362013196975,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,27722,192.168.43.220,8.8.8.8,
1626362013197084,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,27721,192.168.43.220,8.8.8.8,
1626362013268973,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,34904,192.168.43.220,216.58.208.225,
1626362013269057,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,50860,192.168.43.220,68.232.34.200,
1626362013292972,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,17869,216.58.208.225,192.168.43.220,
1626362013293034,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,27117,68.232.34.200,192.168.43.220,
1626362013376970,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,109,17,16868,8.8.8.8,192.168.43.220,
1626362013392967,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,108,17,64512,8.8.8.8,192.168.43.220,
1626362015316976,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,37350,192.168.43.220,151.101.193.69,
1626362015352974,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,11674,151.101.193.69,192.168.43.220,
1626362017368970,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,30933,192.168.43.220,104.19.155.83,
1626362017404974,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,24369,104.19.155.83,192.168.43.220,
1626362018196970,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,27720,192.168.43.220,8.8.8.8,
1626362018197077,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,27629,192.168.43.220,8.8.8.8,
1626362018328969,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,115,17,225,8.8.8.8,192.168.43.220,
1626362018329088,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,116,17,22387,8.8.8.8,192.168.43.220,
1626362019672979,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,42302,192.168.43.220,216.58.207.99,
1626362019696979,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,8139,216.58.207.99,192.168.43.220,
1626362020200980,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,51,6,59504,5.9.70.141,192.168.43.220,
1626362020201146,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,55269,192.168.43.220,5.9.70.141,
1626362023188975,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,27628,192.168.43.220,8.8.8.8,
1626362023189086,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,26906,192.168.43.220,8.8.8.8,
1626362023320970,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,114,17,3315,8.8.8.8,192.168.43.220,
1626362023360961,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,107,17,40829,8.8.8.8,192.168.43.220,
1626362024116958,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,401,124,6,20422,52.159.49.199,192.168.43.220,
1626362024128959,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1440,64,6,19956,192.168.43.220,52.159.49.199,
1626362024129062,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1438,64,6,19957,192.168.43.220,52.159.49.199,
1626362024164966,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,20782,52.159.49.199,192.168.43.220,
1626362024165049,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,20781,52.159.49.199,192.168.43.220,
1626362025208972,54-27-1E-17-4D-99,10-44-00-07-15-59,1544,0,0,0,1,2048,16,68,7,21.89.192.168,43.1.0.0,
1626362025209111,10-44-00-07-15-59,54-27-1E-17-4D-99,1544,0,0,0,1,2048,84,39,7703,77.153.192.168,43.220.16.68,
1626362027608964,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,40960,192.168.43.220,13.107.42.14,
1626362027648973,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,16558,13.107.42.14,192.168.43.220,
1626362028192974,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,26651,192.168.43.220,8.8.8.8,
1626362028193235,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,26905,192.168.43.220,8.8.8.8,
1626362028312958,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,107,17,36504,8.8.8.8,192.168.43.220,
1626362028348960,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,114,17,20029,8.8.8.8,192.168.43.220,
1626362029668974,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,22898,192.168.43.220,104.18.100.194,
1626362029704975,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,28564,104.18.100.194,192.168.43.220,
1626362030448974,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,51,6,59503,5.9.70.141,192.168.43.220,
1626362030449092,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,55268,192.168.43.220,5.9.70.141,
1626362032212975,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,16158,192.168.43.220,140.82.113.25,
1626362032284972,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,7223,140.82.113.25,192.168.43.220,
1626362033196974,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,25754,192.168.43.220,8.8.8.8,
1626362033197098,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,26650,192.168.43.220,8.8.8.8,
1626362033328969,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,114,17,53211,8.8.8.8,192.168.43.220,
1626362033329086,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,109,17,6626,8.8.8.8,192.168.43.220,
1626362033392971,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,830,64,17,36920,192.168.43.220,172.217.19.163,
1626362033644979,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,53,44,17,41399,172.217.19.163,192.168.43.220,
1626362033740977,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,92,44,17,41360,172.217.19.163,192.168.43.220,
1626362033741092,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,77,64,17,37672,192.168.43.220,172.217.19.163,
