Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626363224356457,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2496,192.168.43.220,91.189.91.38,
1626363224356605,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2514,91.189.91.38,192.168.43.220,
1626363224356716,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2513,91.189.91.38,192.168.43.220,
1626363224356818,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2512,91.189.91.38,192.168.43.220,
1626363224357024,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2495,192.168.43.220,91.189.91.38,
1626363224357140,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2511,91.189.91.38,192.168.43.220,
1626363224357217,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2510,91.189.91.38,192.168.43.220,
1626363224357311,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2509,91.189.91.38,192.168.43.220,
1626363224357431,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2494,192.168.43.220,91.189.91.38,
1626363224357515,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2508,91.189.91.38,192.168.43.220,
1626363224357597,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2507,91.189.91.38,192.168.43.220,
1626363224357686,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2493,192.168.43.220,91.189.91.38,
1626363224368983,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2506,91.189.91.38,192.168.43.220,
1626363224369144,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2505,91.189.91.38,192.168.43.220,
1626363224369247,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2504,91.189.91.38,192.168.43.220,
1626363224369345,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2492,192.168.43.220,91.189.91.38,
1626363224369466,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2503,91.189.91.38,192.168.43.220,
1626363224369576,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2502,91.189.91.38,192.168.43.220,
1626363224369675,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2491,192.168.43.220,91.189.91.38,
1626363224369811,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2501,91.189.91.38,192.168.43.220,
1626363224369894,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2500,91.189.91.38,192.168.43.220,
1626363224370016,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2499,91.189.91.38,192.168.43.220,
1626363224370127,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2498,91.189.91.38,192.168.43.220,
1626363224370237,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2497,91.189.91.38,192.168.43.220,
1626363224370348,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2496,91.189.91.38,192.168.43.220,
1626363224370446,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2495,91.189.91.38,192.168.43.220,
1626363224370574,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2490,192.168.43.220,91.189.91.38,
1626363224370680,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2489,192.168.43.220,91.189.91.38,
1626363224370790,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2494,91.189.91.38,192.168.43.220,
1626363224370887,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2493,91.189.91.38,192.168.43.220,
1626363224371026,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2488,192.168.43.220,91.189.91.38,
1626363224384961,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2492,91.189.91.38,192.168.43.220,
1626363224385047,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2491,91.189.91.38,192.168.43.220,
1626363224385103,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2490,91.189.91.38,192.168.43.220,
1626363224385156,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2489,91.189.91.38,192.168.43.220,
1626363224385211,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2488,91.189.91.38,192.168.43.220,
1626363224385263,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2487,91.189.91.38,192.168.43.220,
1626363224385367,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2487,192.168.43.220,91.189.91.38,
1626363224385422,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2486,91.189.91.38,192.168.43.220,
1626363224385474,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2486,192.168.43.220,91.189.91.38,
1626363224385526,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2485,91.189.91.38,192.168.43.220,
1626363224385577,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2484,91.189.91.38,192.168.43.220,
1626363224385629,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2483,91.189.91.38,192.168.43.220,
1626363224385682,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2481,91.189.91.38,192.168.43.220,
1626363224385734,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2485,192.168.43.220,91.189.91.38,
1626363224385787,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,3870,91.189.91.38,192.168.43.220,
1626363224385838,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2480,91.189.91.38,192.168.43.220,
1626363224385890,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2484,192.168.43.220,91.189.91.38,
1626363224385942,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2479,91.189.91.38,192.168.43.220,
1626363224385994,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2483,192.168.43.220,91.189.91.38,
1626363224386045,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2478,91.189.91.38,192.168.43.220,
1626363224386097,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2477,91.189.91.38,192.168.43.220,
1626363224386148,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2482,192.168.43.220,91.189.91.38,
1626363224386200,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2476,91.189.91.38,192.168.43.220,
1626363224386251,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2475,91.189.91.38,192.168.43.220,
1626363224386303,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2481,192.168.43.220,91.189.91.38,
1626363224386354,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2474,91.189.91.38,192.168.43.220,
1626363224386406,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2473,91.189.91.38,192.168.43.220,
1626363224386458,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2480,192.168.43.220,91.189.91.38,
1626363224386518,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2472,91.189.91.38,192.168.43.220,
1626363224386586,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2471,91.189.91.38,192.168.43.220,
