Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626363223129250,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3289,91.189.91.38,192.168.43.220,
1626363223129285,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3288,91.189.91.38,192.168.43.220,
1626363223129317,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2816,192.168.43.220,91.189.91.38,
1626363223129348,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3287,91.189.91.38,192.168.43.220,
1626363223129380,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3286,91.189.91.38,192.168.43.220,
1626363223129431,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2815,192.168.43.220,91.189.91.38,
1626363223129464,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3285,91.189.91.38,192.168.43.220,
1626363223129497,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3284,91.189.91.38,192.168.43.220,
1626363223129536,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2814,192.168.43.220,91.189.91.38,
1626363223129615,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3283,91.189.91.38,192.168.43.220,
1626363223144983,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3282,91.189.91.38,192.168.43.220,
1626363223145069,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3281,91.189.91.38,192.168.43.220,
1626363223145106,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3280,91.189.91.38,192.168.43.220,
1626363223145142,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3279,91.189.91.38,192.168.43.220,
1626363223145182,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3278,91.189.91.38,192.168.43.220,
1626363223145224,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3277,91.189.91.38,192.168.43.220,
1626363223145267,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2813,192.168.43.220,91.189.91.38,
1626363223145302,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2812,192.168.43.220,91.189.91.38,
1626363223192976,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,8938,192.168.43.220,8.8.8.8,
1626363223193079,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,9466,192.168.43.220,8.8.8.8,
1626363223264973,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3276,91.189.91.38,192.168.43.220,
1626363223265085,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3275,91.189.91.38,192.168.43.220,
1626363223265133,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3274,91.189.91.38,192.168.43.220,
1626363223265177,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3273,91.189.91.38,192.168.43.220,
1626363223265220,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3272,91.189.91.38,192.168.43.220,
1626363223265260,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3271,91.189.91.38,192.168.43.220,
1626363223265322,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3270,91.189.91.38,192.168.43.220,
1626363223265374,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2811,192.168.43.220,91.189.91.38,
1626363223265422,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3269,91.189.91.38,192.168.43.220,
1626363223265502,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3268,91.189.91.38,192.168.43.220,
1626363223265553,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3267,91.189.91.38,192.168.43.220,
1626363223265591,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3266,91.189.91.38,192.168.43.220,
1626363223265637,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3265,91.189.91.38,192.168.43.220,
1626363223265679,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2810,192.168.43.220,91.189.91.38,
1626363223265731,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3264,91.189.91.38,192.168.43.220,
1626363223265790,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3263,91.189.91.38,192.168.43.220,
1626363223265869,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3262,91.189.91.38,192.168.43.220,
1626363223266017,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3261,91.189.91.38,192.168.43.220,
1626363223266106,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3260,91.189.91.38,192.168.43.220,
1626363223266204,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3259,91.189.91.38,192.168.43.220,
1626363223266281,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3258,91.189.91.38,192.168.43.220,
1626363223266368,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2809,192.168.43.220,91.189.91.38,
1626363223266455,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3257,91.189.91.38,192.168.43.220,
1626363223266553,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3256,91.189.91.38,192.168.43.220,
1626363223266630,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2808,192.168.43.220,91.189.91.38,
1626363223266727,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3255,91.189.91.38,192.168.43.220,
1626363223266806,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3254,91.189.91.38,192.168.43.220,
1626363223266893,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3253,91.189.91.38,192.168.43.220,
1626363223266960,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2807,192.168.43.220,91.189.91.38,
1626363223276981,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3252,91.189.91.38,192.168.43.220,
1626363223277058,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3251,91.189.91.38,192.168.43.220,
1626363223277120,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3250,91.189.91.38,192.168.43.220,
1626363223277178,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3249,91.189.91.38,192.168.43.220,
1626363223277235,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3248,91.189.91.38,192.168.43.220,
1626363223277297,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3247,91.189.91.38,192.168.43.220,
1626363223277365,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3246,91.189.91.38,192.168.43.220,
1626363223277426,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2806,192.168.43.220,91.189.91.38,
1626363223277484,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3245,91.189.91.38,192.168.43.220,
1626363223277551,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3244,91.189.91.38,192.168.43.220,
1626363223277609,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2805,192.168.43.220,91.189.91.38,
1626363223277670,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3243,91.189.91.38,192.168.43.220,
1626363223277737,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3242,91.189.91.38,192.168.43.220,
1626363223277795,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3241,91.189.91.38,192.168.43.220,
1626363223277856,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3240,91.189.91.38,192.168.43.220,
1626363223277924,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3239,91.189.91.38,192.168.43.220,
1626363223277985,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2804,192.168.43.220,91.189.91.38,
1626363223278030,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3238,91.189.91.38,192.168.43.220,
1626363223278064,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2803,192.168.43.220,91.189.91.38,
1626363223278104,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3237,91.189.91.38,192.168.43.220,
1626363223278141,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3236,91.189.91.38,192.168.43.220,
1626363223278177,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2802,192.168.43.220,91.189.91.38,
1626363223278213,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3235,91.189.91.38,192.168.43.220,
1626363223278248,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3234,91.189.91.38,192.168.43.220,
1626363223278283,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3233,91.189.91.38,192.168.43.220,
1626363223278350,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3232,91.189.91.38,192.168.43.220,
1626363223278387,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3231,91.189.91.38,192.168.43.220,
1626363223278423,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2801,192.168.43.220,91.189.91.38,
1626363223278458,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3230,91.189.91.38,192.168.43.220,
1626363223278494,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2800,192.168.43.220,91.189.91.38,
1626363223278529,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3229,91.189.91.38,192.168.43.220,
1626363223278565,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3228,91.189.91.38,192.168.43.220,
1626363223278600,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3227,91.189.91.38,192.168.43.220,
1626363223278636,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2799,192.168.43.220,91.189.91.38,
1626363223278671,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3226,91.189.91.38,192.168.43.220,
1626363223278706,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2798,192.168.43.220,91.189.91.38,
1626363223288973,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3224,91.189.91.38,192.168.43.220,
1626363223289054,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2785,192.168.43.220,91.189.91.38,
1626363223289085,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3223,91.189.91.38,192.168.43.220,
1626363223289113,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2784,192.168.43.220,91.189.91.38,
1626363223289142,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3222,91.189.91.38,192.168.43.220,
1626363223289170,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2783,192.168.43.220,91.189.91.38,
1626363223289197,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3221,91.189.91.38,192.168.43.220,
1626363223289224,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2782,192.168.43.220,91.189.91.38,
1626363223289253,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3220,91.189.91.38,192.168.43.220,
1626363223289291,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2781,192.168.43.220,91.189.91.38,
1626363223300956,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3219,91.189.91.38,192.168.43.220,
1626363223301008,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2780,192.168.43.220,91.189.91.38,
1626363223301044,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3218,91.189.91.38,192.168.43.220,
1626363223301081,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,2779,192.168.43.220,91.189.91.38,
1626363223324987,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3217,91.189.91.38,192.168.43.220,
