Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626363223897461,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2943,91.189.91.38,192.168.43.220,
1626363223897517,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2942,91.189.91.38,192.168.43.220,
1626363223897566,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2667,192.168.43.220,91.189.91.38,
1626363223897643,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2941,91.189.91.38,192.168.43.220,
1626363223897700,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2940,91.189.91.38,192.168.43.220,
1626363223897804,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2666,192.168.43.220,91.189.91.38,
1626363223897906,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2939,91.189.91.38,192.168.43.220,
1626363223898004,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2665,192.168.43.220,91.189.91.38,
1626363223898068,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2938,91.189.91.38,192.168.43.220,
1626363223898121,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2937,91.189.91.38,192.168.43.220,
1626363223898193,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2664,192.168.43.220,91.189.91.38,
1626363223908989,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2936,91.189.91.38,192.168.43.220,
1626363223909103,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2935,91.189.91.38,192.168.43.220,
1626363223909176,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2934,91.189.91.38,192.168.43.220,
1626363223909241,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2933,91.189.91.38,192.168.43.220,
1626363223909299,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2932,91.189.91.38,192.168.43.220,
1626363223909375,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2663,192.168.43.220,91.189.91.38,
1626363223909435,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2662,192.168.43.220,91.189.91.38,
1626363223909498,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2931,91.189.91.38,192.168.43.220,
1626363223909572,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2930,91.189.91.38,192.168.43.220,
1626363223909647,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2661,192.168.43.220,91.189.91.38,
1626363223920966,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2929,91.189.91.38,192.168.43.220,
1626363223921056,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2928,91.189.91.38,192.168.43.220,
1626363223921104,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2660,192.168.43.220,91.189.91.38,
1626363223921176,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2927,91.189.91.38,192.168.43.220,
1626363223921223,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2926,91.189.91.38,192.168.43.220,
1626363223921270,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2925,91.189.91.38,192.168.43.220,
1626363223921393,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2659,192.168.43.220,91.189.91.38,
1626363223921447,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2924,91.189.91.38,192.168.43.220,
1626363223921479,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2923,91.189.91.38,192.168.43.220,
1626363223921510,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2658,192.168.43.220,91.189.91.38,
1626363223921567,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2922,91.189.91.38,192.168.43.220,
1626363223921625,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2921,91.189.91.38,192.168.43.220,
1626363223921693,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2657,192.168.43.220,91.189.91.38,
1626363223921790,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2920,91.189.91.38,192.168.43.220,
1626363223921854,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2919,91.189.91.38,192.168.43.220,
1626363223921916,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2656,192.168.43.220,91.189.91.38,
1626363223922056,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2918,91.189.91.38,192.168.43.220,
1626363223932968,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2917,91.189.91.38,192.168.43.220,
1626363223933028,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2655,192.168.43.220,91.189.91.38,
1626363223933067,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2916,91.189.91.38,192.168.43.220,
1626363223933104,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2915,91.189.91.38,192.168.43.220,
1626363223933140,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2654,192.168.43.220,91.189.91.38,
1626363223933177,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2914,91.189.91.38,192.168.43.220,
1626363223933214,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2913,91.189.91.38,192.168.43.220,
1626363223933250,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2653,192.168.43.220,91.189.91.38,
1626363223933293,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2912,91.189.91.38,192.168.43.220,
1626363223933330,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2911,91.189.91.38,192.168.43.220,
1626363223933367,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2652,192.168.43.220,91.189.91.38,
1626363223933403,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2910,91.189.91.38,192.168.43.220,
1626363223933439,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2909,91.189.91.38,192.168.43.220,
1626363223933476,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2651,192.168.43.220,91.189.91.38,
1626363223933512,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2908,91.189.91.38,192.168.43.220,
1626363223933549,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2907,91.189.91.38,192.168.43.220,
1626363223933585,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2650,192.168.43.220,91.189.91.38,
1626363223933621,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2906,91.189.91.38,192.168.43.220,
1626363223933657,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2905,91.189.91.38,192.168.43.220,
1626363223933701,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2904,91.189.91.38,192.168.43.220,
1626363223933736,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,2903,91.189.91.38,192.168.43.220,
1626363223933771,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,2649,192.168.43.220,91.189.91.38,
