Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626363222096980,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3886,91.189.91.38,192.168.43.220,
1626363222097134,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3120,192.168.43.220,91.189.91.38,
1626363222097222,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3885,91.189.91.38,192.168.43.220,
1626363222097306,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3119,192.168.43.220,91.189.91.38,
1626363222097421,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3884,91.189.91.38,192.168.43.220,
1626363222097517,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3118,192.168.43.220,91.189.91.38,
1626363222097577,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3883,91.189.91.38,192.168.43.220,
1626363222097648,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3117,192.168.43.220,91.189.91.38,
1626363222097724,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3882,91.189.91.38,192.168.43.220,
1626363222097789,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3116,192.168.43.220,91.189.91.38,
1626363222097854,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3881,91.189.91.38,192.168.43.220,
1626363222097919,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3115,192.168.43.220,91.189.91.38,
1626363222098000,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3880,91.189.91.38,192.168.43.220,
1626363222098064,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3114,192.168.43.220,91.189.91.38,
1626363222098129,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3879,91.189.91.38,192.168.43.220,
1626363222098202,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3113,192.168.43.220,91.189.91.38,
1626363222098264,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3878,91.189.91.38,192.168.43.220,
1626363222098323,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3112,192.168.43.220,91.189.91.38,
1626363222098394,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3877,91.189.91.38,192.168.43.220,
