Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626362234456974,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,58250,192.168.43.220,13.225.74.106,
1626362234457104,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,51051,192.168.43.220,151.101.120.193,
1626362234457181,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,12470,192.168.43.220,13.225.74.83,
1626362234516959,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,57775,13.225.74.106,192.168.43.220,
1626362234528978,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,53884,151.101.120.193,192.168.43.220,
1626362234529098,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,45222,13.225.74.83,192.168.43.220,
1626362235800976,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,51,6,59477,5.9.70.141,192.168.43.220,
1626362235801116,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,55243,192.168.43.220,5.9.70.141,
1626362236496988,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,27012,192.168.43.220,104.17.68.176,
1626362236580969,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,43607,104.17.68.176,192.168.43.220,
1626362236880981,01-00-5E-7F-FF-FA,54-27-1E-17-4D-99,8,4,5,20,0,200,1,17,28580,192.168.43.220,239.255.255.250,
1626362237888980,01-00-5E-7F-FF-FA,54-27-1E-17-4D-99,8,4,5,20,0,200,1,17,28352,192.168.43.220,239.255.255.250,
1626362238188979,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,1301,192.168.43.220,8.8.8.8,
1626362238189248,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,1300,192.168.43.220,8.8.8.8,
1626362238368979,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,72,135,98,17,25319,8.8.8.8,192.168.43.220,
1626362238380965,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,72,135,98,17,46914,8.8.8.8,192.168.43.220,
1626362238656973,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,47550,192.168.43.220,74.125.140.188,
1626362238884971,01-00-5E-7F-FF-FA,54-27-1E-17-4D-99,8,4,5,20,0,200,1,17,28120,192.168.43.220,239.255.255.250,
