Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626363206589617,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,332,64,6,57093,192.168.43.220,65.55.44.109,
1626363206732962,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,63154,65.55.44.109,192.168.43.220,
1626363207020961,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,354,124,6,62839,65.55.44.109,192.168.43.220,
1626363207021105,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,57384,192.168.43.220,65.55.44.109,
1626363207021167,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,63152,65.55.44.109,192.168.43.220,
1626363207032970,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,71,64,6,57352,192.168.43.220,65.55.44.109,
1626363207033075,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,57382,192.168.43.220,65.55.44.109,
1626363207056962,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,63139,65.55.44.109,192.168.43.220,
1626363207068964,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,63138,65.55.44.109,192.168.43.220,
1626363207260975,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,18160,192.168.43.220,68.232.34.200,
1626363207284973,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,35299,68.232.34.200,192.168.43.220,
1626363208196964,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,11116,192.168.43.220,8.8.8.8,
1626363208197159,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,11117,192.168.43.220,8.8.8.8,
1626363208292963,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,116,17,20204,8.8.8.8,192.168.43.220,
1626363208308971,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,116,17,25644,8.8.8.8,192.168.43.220,
1626363208484972,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,924,124,6,19809,52.159.49.199,192.168.43.220,
1626363208485090,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1440,64,6,19888,192.168.43.220,52.159.49.199,
1626363208485139,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1438,64,6,19889,192.168.43.220,52.159.49.199,
1626363208580959,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1438,64,6,19888,192.168.43.220,52.159.49.199,
1626363208616963,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,20691,52.159.49.199,192.168.43.220,
1626363208617091,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,20678,52.159.49.199,192.168.43.220,
1626363209732968,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,63603,52.170.57.27,192.168.43.220,
1626363210632975,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,51,6,59357,5.9.70.141,192.168.43.220,
1626363210633098,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,55127,192.168.43.220,5.9.70.141,
1626363213188959,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,11115,192.168.43.220,8.8.8.8,
1626363213189068,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,10053,192.168.43.220,8.8.8.8,
1626363213320977,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,116,17,49384,8.8.8.8,192.168.43.220,
1626363213332961,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,115,17,17635,8.8.8.8,192.168.43.220,
1626363215192976,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,78,64,17,3028,192.168.43.220,192.168.43.1,
1626363215324974,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,158,64,17,41655,192.168.43.1,192.168.43.220,
1626363215325237,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,65,64,17,3026,192.168.43.220,192.168.43.1,
1626363215325344,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,65,64,17,3025,192.168.43.220,192.168.43.1,
1626363215360972,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,116,64,17,41694,192.168.43.1,192.168.43.220,
1626363215444973,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,81,64,17,41725,192.168.43.1,192.168.43.220,
1626363215445077,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,64,6,4549,192.168.43.220,91.189.91.38,
1626363216056977,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,60,38,6,45396,91.189.91.38,192.168.43.220,
1626363216057133,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4556,192.168.43.220,91.189.91.38,
1626363216057255,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,241,64,6,4366,192.168.43.220,91.189.91.38,
1626363216092971,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,7200,91.189.91.38,192.168.43.220,
1626363216692980,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,5811,91.189.91.38,192.168.43.220,
1626363216693119,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4554,192.168.43.220,91.189.91.38,
1626363216693172,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1240,124,6,6010,91.189.91.38,192.168.43.220,
1626363216693211,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4553,192.168.43.220,91.189.91.38,
1626363216693248,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5909,91.189.91.38,192.168.43.220,
1626363216693285,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4552,192.168.43.220,91.189.91.38,
1626363216693312,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5908,91.189.91.38,192.168.43.220,
1626363216693346,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4551,192.168.43.220,91.189.91.38,
1626363216704964,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5907,91.189.91.38,192.168.43.220,
1626363216705019,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4550,192.168.43.220,91.189.91.38,
1626363216716958,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5906,91.189.91.38,192.168.43.220,
1626363216717081,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4549,192.168.43.220,91.189.91.38,
1626363216756962,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,5805,91.189.91.38,192.168.43.220,
1626363216757071,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4548,192.168.43.220,91.189.91.38,
1626363216757140,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1240,124,6,6004,91.189.91.38,192.168.43.220,
1626363216757190,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4547,192.168.43.220,91.189.91.38,
1626363216796958,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,5803,91.189.91.38,192.168.43.220,
1626363216797032,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4546,192.168.43.220,91.189.91.38,
1626363216797076,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1240,124,6,6002,91.189.91.38,192.168.43.220,
1626363216797115,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4545,192.168.43.220,91.189.91.38,
1626363217060957,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5901,91.189.91.38,192.168.43.220,
1626363217061065,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4544,192.168.43.220,91.189.91.38,
1626363217061112,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5900,91.189.91.38,192.168.43.220,
1626363217061146,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4543,192.168.43.220,91.189.91.38,
1626363217096964,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5899,91.189.91.38,192.168.43.220,
1626363217097042,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4542,192.168.43.220,91.189.91.38,
1626363217108959,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5898,91.189.91.38,192.168.43.220,
1626363217109031,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4541,192.168.43.220,91.189.91.38,
1626363217132959,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5897,91.189.91.38,192.168.43.220,
1626363217133048,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4540,192.168.43.220,91.189.91.38,
1626363217144964,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5896,91.189.91.38,192.168.43.220,
1626363217145023,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4539,192.168.43.220,91.189.91.38,
1626363217180957,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5895,91.189.91.38,192.168.43.220,
1626363217228958,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4538,192.168.43.220,91.189.91.38,
1626363217480960,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5894,91.189.91.38,192.168.43.220,
1626363217504955,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5893,91.189.91.38,192.168.43.220,
1626363217505086,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4537,192.168.43.220,91.189.91.38,
1626363217528964,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,5792,91.189.91.38,192.168.43.220,
1626363217529032,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,5791,91.189.91.38,192.168.43.220,
1626363217529071,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4536,192.168.43.220,91.189.91.38,
1626363217529109,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,5790,91.189.91.38,192.168.43.220,
1626363217540956,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,5789,91.189.91.38,192.168.43.220,
1626363217541028,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4535,192.168.43.220,91.189.91.38,
1626363217541101,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,5788,91.189.91.38,192.168.43.220,
