Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626363221081862,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3752,192.168.43.220,91.189.91.38,
1626363221081925,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4541,91.189.91.38,192.168.43.220,
1626363221082024,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3751,192.168.43.220,91.189.91.38,
1626363221082093,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4540,91.189.91.38,192.168.43.220,
1626363221082163,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3750,192.168.43.220,91.189.91.38,
1626363221082269,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4539,91.189.91.38,192.168.43.220,
1626363221082335,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3749,192.168.43.220,91.189.91.38,
1626363221082394,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4538,91.189.91.38,192.168.43.220,
1626363221082475,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3748,192.168.43.220,91.189.91.38,
1626363221082535,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4537,91.189.91.38,192.168.43.220,
1626363221082590,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3747,192.168.43.220,91.189.91.38,
1626363221092962,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4536,91.189.91.38,192.168.43.220,
1626363221093049,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3746,192.168.43.220,91.189.91.38,
1626363221093090,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4535,91.189.91.38,192.168.43.220,
1626363221093129,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3745,192.168.43.220,91.189.91.38,
1626363221093173,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4534,91.189.91.38,192.168.43.220,
1626363221093210,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3744,192.168.43.220,91.189.91.38,
1626363221093246,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4533,91.189.91.38,192.168.43.220,
1626363221093281,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3743,192.168.43.220,91.189.91.38,
1626363221093316,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4532,91.189.91.38,192.168.43.220,
1626363221093357,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3742,192.168.43.220,91.189.91.38,
1626363221093396,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4531,91.189.91.38,192.168.43.220,
1626363221093435,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3741,192.168.43.220,91.189.91.38,
1626363221093474,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4530,91.189.91.38,192.168.43.220,
1626363221093516,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3740,192.168.43.220,91.189.91.38,
1626363221093555,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4529,91.189.91.38,192.168.43.220,
1626363221093593,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3739,192.168.43.220,91.189.91.38,
1626363221108971,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4528,91.189.91.38,192.168.43.220,
1626363221109106,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3738,192.168.43.220,91.189.91.38,
1626363221109219,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4527,91.189.91.38,192.168.43.220,
1626363221109350,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3737,192.168.43.220,91.189.91.38,
1626363221109424,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4526,91.189.91.38,192.168.43.220,
1626363221109488,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3736,192.168.43.220,91.189.91.38,
1626363221109588,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4525,91.189.91.38,192.168.43.220,
1626363221109646,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3735,192.168.43.220,91.189.91.38,
1626363221109698,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4524,91.189.91.38,192.168.43.220,
1626363221109750,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3734,192.168.43.220,91.189.91.38,
1626363221109887,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4523,91.189.91.38,192.168.43.220,
1626363221109971,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3733,192.168.43.220,91.189.91.38,
1626363221110068,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4522,91.189.91.38,192.168.43.220,
1626363221110174,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,64,64,6,3732,192.168.43.220,91.189.91.38,
1626363221110267,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,4521,91.189.91.38,192.168.43.220,
