Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626363222015737,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3220,192.168.43.220,91.189.91.38,
1626363222015774,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3986,91.189.91.38,192.168.43.220,
1626363222015809,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3219,192.168.43.220,91.189.91.38,
1626363222015843,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3985,91.189.91.38,192.168.43.220,
1626363222015893,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3218,192.168.43.220,91.189.91.38,
1626363222015966,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3984,91.189.91.38,192.168.43.220,
1626363222016025,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3217,192.168.43.220,91.189.91.38,
1626363222024959,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3983,91.189.91.38,192.168.43.220,
1626363222025072,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3216,192.168.43.220,91.189.91.38,
1626363222025129,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3982,91.189.91.38,192.168.43.220,
1626363222025185,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3215,192.168.43.220,91.189.91.38,
1626363222025253,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3981,91.189.91.38,192.168.43.220,
1626363222025316,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3214,192.168.43.220,91.189.91.38,
1626363222025373,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3980,91.189.91.38,192.168.43.220,
1626363222025429,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3213,192.168.43.220,91.189.91.38,
1626363222025500,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3979,91.189.91.38,192.168.43.220,
1626363222025556,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3212,192.168.43.220,91.189.91.38,
1626363222025612,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3978,91.189.91.38,192.168.43.220,
1626363222025678,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3211,192.168.43.220,91.189.91.38,
1626363222025735,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3977,91.189.91.38,192.168.43.220,
1626363222025787,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3210,192.168.43.220,91.189.91.38,
1626363222025849,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3976,91.189.91.38,192.168.43.220,
1626363222025917,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3209,192.168.43.220,91.189.91.38,
1626363222025973,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3975,91.189.91.38,192.168.43.220,
1626363222026026,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3208,192.168.43.220,91.189.91.38,
1626363222026090,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3974,91.189.91.38,192.168.43.220,
1626363222026148,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3207,192.168.43.220,91.189.91.38,
1626363222026204,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3973,91.189.91.38,192.168.43.220,
1626363222026269,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3206,192.168.43.220,91.189.91.38,
1626363222026341,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3972,91.189.91.38,192.168.43.220,
1626363222026394,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3205,192.168.43.220,91.189.91.38,
1626363222026456,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3971,91.189.91.38,192.168.43.220,
1626363222026527,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3204,192.168.43.220,91.189.91.38,
1626363222026586,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3970,91.189.91.38,192.168.43.220,
1626363222026659,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3203,192.168.43.220,91.189.91.38,
1626363222026745,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3969,91.189.91.38,192.168.43.220,
1626363222026808,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3202,192.168.43.220,91.189.91.38,
1626363222026945,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3968,91.189.91.38,192.168.43.220,
1626363222027069,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3201,192.168.43.220,91.189.91.38,
1626363222027146,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3967,91.189.91.38,192.168.43.220,
1626363222027222,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3200,192.168.43.220,91.189.91.38,
1626363222027314,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3966,91.189.91.38,192.168.43.220,
1626363222027408,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3199,192.168.43.220,91.189.91.38,
1626363222027483,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3965,91.189.91.38,192.168.43.220,
1626363222027556,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3198,192.168.43.220,91.189.91.38,
1626363222027662,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3964,91.189.91.38,192.168.43.220,
1626363222027721,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3197,192.168.43.220,91.189.91.38,
1626363222027777,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3963,91.189.91.38,192.168.43.220,
1626363222027862,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3196,192.168.43.220,91.189.91.38,
1626363222027940,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3962,91.189.91.38,192.168.43.220,
1626363222028006,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3195,192.168.43.220,91.189.91.38,
1626363222028083,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3961,91.189.91.38,192.168.43.220,
1626363222028176,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3194,192.168.43.220,91.189.91.38,
1626363222028245,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3960,91.189.91.38,192.168.43.220,
1626363222028303,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3193,192.168.43.220,91.189.91.38,
1626363222028400,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3959,91.189.91.38,192.168.43.220,
1626363222028492,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3192,192.168.43.220,91.189.91.38,
1626363222028569,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3958,91.189.91.38,192.168.43.220,
1626363222028646,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3191,192.168.43.220,91.189.91.38,
1626363222028714,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3957,91.189.91.38,192.168.43.220,
1626363222028780,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3190,192.168.43.220,91.189.91.38,
1626363222028853,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,3956,91.189.91.38,192.168.43.220,
