Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626361884828972,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,103,124,6,52071,192.0.73.2,192.168.43.220,
1626361884829206,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,10895,192.168.43.220,192.0.73.2,
1626361884829273,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,52133,192.0.73.2,192.168.43.220,
1626361884876979,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,10894,192.168.43.220,192.0.73.2,
1626361884892973,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1378,43,17,6568,142.250.181.100,192.168.43.220,
1626361884893085,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1378,64,17,1356,192.168.43.220,142.250.181.100,
1626361884893134,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,1097,64,17,1636,192.168.43.220,142.250.181.100,
1626361885008979,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,53,51,17,5739,142.250.181.78,192.168.43.220,
1626361885144958,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1378,43,17,6568,142.250.181.100,192.168.43.220,
1626361885160996,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,72,43,17,7874,142.250.181.100,192.168.43.220,
1626361885176969,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,69,64,17,2663,192.168.43.220,142.250.181.100,
1626361885388970,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,55,51,17,5715,142.250.181.100,192.168.43.220,
1626361885389220,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1378,43,17,6568,142.250.181.100,192.168.43.220,
1626361885389302,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,61,64,17,2670,192.168.43.220,142.250.181.100,
1626361885496971,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,622,51,17,5148,142.250.181.100,192.168.43.220,
1626361885497088,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,253,51,17,5517,142.250.181.100,192.168.43.220,
1626361885497130,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,632,51,17,5138,142.250.181.100,192.168.43.220,
1626361885497163,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,63,64,17,2667,192.168.43.220,142.250.181.100,
1626361885497193,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,61,64,17,2668,192.168.43.220,142.250.181.100,
